x86_64 Darwin Kernel Version 18.7.0: Mon Apr 27 20:09:39 PDT 2020; root:xnu-4903.278.35~1/RELEASE_X86_64 localhost;
Benchmark;Best;Armed Bear Common Lisp 1.7.0;CLISP 2.49.93+ (2018-02-18) (built on karsten-poecks-macbook-pro.local [172.17.2.4]);CMU Common Lisp 21d (21D Unicode);ECL 20.4.24;International Allegro CL Free Express Edition 10.1 [32-bit Mac OS X (Intel)] (Jun 6, 2020 14:06);LispWorks Personal Edition 7.1.2;SBCL 2.0.4;clasp cclasp-boehm-0.4.2-2692-g00d68d383-cst;
Date;;20200607T1531;20200607T1518;20200607T1506;20200607T1501;20200607T1457;20200607T1537;20200607T1510;20200607T1607;
COMPILER;      0,33;      2,02;      0,69;      0,89;      1,27;      0,55;      0,33;      0,70;     39,64;
LOAD-FASL;      0,06;      2,46;      0,27;      0,12;      0,12;      0,12;      0,06;      0,06;      2,32;
SUM-PERMUTATIONS;      0,21;      0,82;      1,31;      0,88;      2,03;      0,72;;      0,21;      1,50;
WALK-LIST/SEQ;      0,01;      0,06;      0,01;      0,01;      0,01;;;      0,01;      0,02;
WALK-LIST/MESS;      0,02;;      0,08;      0,02;      0,33;;;      0,02;;
BOYER;      0,17;      0,62;      2,18;      0,23;      0,58;      0,32;      0,23;      0,17;      0,87;
BROWSE;      0,11;      0,23;      0,74;      0,21;      0,25;      0,17;      0,12;      0,11;      0,49;
DDERIV;      0,10;      0,26;      0,77;      0,15;      0,57;      0,18;      0,10;      0,11;      1,02;
DERIV;      0,11;      0,22;      0,81;      0,18;      0,57;      0,16;      0,12;      0,11;      1,28;
DESTRUCTIVE;      0,10;      0,54;      0,82;      0,18;      0,40;      0,20;      0,13;      0,10;      0,37;
DIV2-TEST-1;      0,14;      0,14;      1,23;      0,34;      0,72;      0,24;      0,16;      0,17;      1,82;
DIV2-TEST-2;      0,23;      0,52;      1,60;      0,46;      1,02;      0,43;      0,23;      0,24;      1,96;
FFT;      0,01;      0,51;      1,99;      0,04;      1,41;      0,57;      0,18;      0,01;      0,49;
FRPOLY/FIXNUM;      0,14;      0,65;      2,44;      0,18;      1,07;      0,25;      0,16;      0,14;      0,66;
